occurrence_no,reference_no,ref_author,ref_pubyr,paper_title,paper_authors,paper_publication_year,author_institutions,paper_abstract,enrichment_sources,best_match_score
1421818,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421819,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421820,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421821,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421822,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421823,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421824,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421825,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421826,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421827,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421828,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421829,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421830,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
